"Interest","CareerGoal","Skills","Course"
"Banking","Bank Officer","Customer Service, Financial Products, Risk Management","BBS"
"Management Consulting","Consultant","Problem Solving, Data Analysis, Presentation","BBS"
"E-commerce","E-commerce Manager","Digital Marketing, Logistics, Analytics","BBS"
"International Business","Trade Analyst","Global Economics, Negotiation, Supply Chain","BBS"
"General Medicine","Physician","Diagnosis, Patient History, Empathy","MBBS"
"Surgery","Surgeon","Manual Dexterity, Decision Making, Anatomy","MBBS"
"Pediatrics","Pediatrician","Child Health, Communication, Patience","MBBS"
"Radiology","Radiologist","Imaging Techniques, Attention to Detail, Anatomy","MBBS"
"Psychiatry","Psychiatrist","Mental Health Assessment, Pharmacology, Therapy","MBBS"
"Network Security","Network Administrator","CCNA, Troubleshooting, Linux","BIT"
"Database Management","Database Administrator","SQL, Data Modeling, Backup Recovery","BIT"
"IT Consulting","IT Consultant","System Analysis, Communication, Problem Solving","BIT"
"Cloud Computing","Cloud Engineer","AWS, Virtualization, Scripting","BIT"
"IT Support","Help Desk Technician","Customer Service, Hardware, Ticketing Systems","BIT"
"Business Analytics","Business Analyst","Excel, SQL, Data Visualization","BBA"
"Retail Management","Store Manager","Inventory, Customer Relations, Leadership","BBA"
"Event Management","Event Coordinator","Organization, Budgeting, Creativity","BBA"
"Supply Chain","Logistics Coordinator","Planning, Vendor Management, ERP","BBA"
"Corporate Strategy","Strategy Analyst","Critical Thinking, Research, Financial Acumen","BBA"
"Front Office","Front Desk Manager","Customer Service, Communication, PMS Software","BHM"
"Food & Beverage","F&B Manager","Inventory, Menu Planning, Leadership","BHM"
"Housekeeping","Executive Housekeeper","Attention to Detail, Scheduling, Quality Control","BHM"
"Hotel Marketing","Revenue Manager","Pricing Strategy, Data Analysis, Digital Marketing","BHM"
"Culinary Arts","Chef","Cooking, Creativity, Time Management","BHM"
"Embedded Systems","Embedded Engineer","C/C++, Microcontrollers, Electronics","Computer Engineering"
"Computer Architecture","Hardware Engineer","Verilog, FPGA, Digital Logic","Computer Engineering"
"Robotics","Robotics Software Engineer","ROS, Python, Sensors","Computer Engineering"
"Networking","Network Engineer","Routing, Switching, Security","Computer Engineering"
"Operating Systems","Systems Programmer","Kernel Development, C, Debugging","Computer Engineering"
"IT","Software Developer","Coding, Logic, Problem Solving","BCA"
"Computers","Web Developer","Creativity, Coding, Basic Math","BCA"
"Web Development","IT Support Engineer","Coding, Creativity, Basic Math","BCA"
"Computers","Web Developer","Basic Math, Creativity, Coding","BCA"
"Web Development","Web Developer","Creativity, Basic Math, Debugging","BCA"
"Social Research","Social Researcher","Data Collection, SPSS, Critical Thinking","BA Sociology"
"Community Development","Community Organizer","Advocacy, Communication, Planning","BA Sociology"
"Criminology","Criminologist","Criminal Justice, Analysis, Report Writing","BA Sociology"
"Urban Sociology","Urban Planner","GIS, Demographics, Policy Analysis","BA Sociology"
"Gender Studies","Gender Equality Officer","Sensitivity, Research, Advocacy","BA Sociology"
"Software Engineering","Software Developer","Java, Algorithms, Problem Solving","BSc CSIT"
"Data Science","Data Analyst","Python, Statistics, Data Visualization","BSc CSIT"
"Web Technologies","Full Stack Developer","JavaScript, React, Node.js","BSc CSIT"
"Artificial Intelligence","AI Engineer","Machine Learning, TensorFlow, Math","BSc CSIT"
"Mobile Development","App Developer","Android, iOS, UI/UX Design","BSc CSIT"
"Criminal Law","Criminal Lawyer","Argumentation, Legal Research, Ethics","BALLB"
"Corporate Law","Corporate Counsel","Contracts, Negotiation, Compliance","BALLB"
"Human Rights","Human Rights Advocate","Advocacy, Legal Writing, Empathy","BALLB"
"Intellectual Property","IP Attorney","Patent Law, Trademarks, Detail Oriented","BALLB"
"Family Law","Family Lawyer","Mediation, Counseling, Legal Knowledge","BALLB"
"English Literature","Content Writer","Writing, Editing, Creativity","BA"
"History","Archivist","Research, Organization, Attention to Detail","BA"
"Political Science","Policy Analyst","Critical Thinking, Data Analysis, Writing","BA"
"Economics","Economic Consultant","Quantitative Analysis, Econometrics, Excel","BA"
"Philosophy","Ethics Advisor","Logical Reasoning, Debate, Writing","BA"
